Date,Real value,1 week forecasting,2 weeks forecasting,3 weeks forecasting,4 weeks forecasting,Max capacity,last forecasting
2020-11-19,1554.76,1608.44564261414,1675.84921131956,2082.08014089175,2872.28071922341,3738,
2020-11-20,1586.72,1657.44335790602,1750.92918713771,2083.54336751829,2950.649249476,3738,
2020-11-21,1615.24,1703.03084552141,1829.28857446273,2076.355716822,3020.34457371661,3738,
2020-11-22,1644.04,1745.23567349071,1905.70206571739,2069.75564526216,3081.25575461585,3738,
2020-11-23,1675.96,1783.25802935806,1978.65742289229,2074.8357331049,3127.07493025014,3738,
2020-11-24,1708.4,1816.23197192561,2042.92263214092,2109.52997798063,3142.15610704598,3738,
2020-11-25,1738.71,1839.81827942492,2096.05366562907,2183.78977905805,3122.54196497912,3738,
2020-11-26,1773.01666666667,1856.48689825412,2144.32457879277,2281.69403928017,3078.42970785499,3738,
2020-11-27,1800.96333333333,1867.76001220047,2190.0253178734,2390.69124780002,3010.44034978837,3738,
2020-11-28,1823.87836941032,1875.64301074534,2231.40388874783,2502.47605208712,2925.62665265329,3738,
2020-11-29,,,,,,3738,1842.38123884299
2020-11-30,,,,,,3738,1858.72140266127
2020-12-01,,,,,,3738,1869.50350500318
2020-12-02,,,,,,3738,1881.50308704622
2020-12-03,,,,,,3738,1890.53546701124
2020-12-04,,,,,,3738,1896.84743756906
2020-12-05,,,,,,3738,1900.66620483866
2020-12-06,,,,,,3738,1902.20532029056
2020-12-07,,,,,,3738,1901.66667293341
2020-12-08,,,,,,3738,1899.2408935504
2020-12-09,,,,,,3738,1895.10723999741
2020-12-10,,,,,,3738,1889.43342377865
2020-12-11,,,,,,3738,1882.375553892
2020-12-12,,,,,,3738,1874.07824524717
2020-12-13,,,,,,3738,1864.67488414097
2020-12-14,,,,,,3738,1854.2880229706
2020-12-15,,,,,,3738,1843.02987169519
2020-12-16,,,,,,3738,1831.00285553242
2020-12-17,,,,,,3738,1818.3002127894
2020-12-18,,,,,,3738,1805.00661166
2020-12-19,,,,,,3738,1791.19876945557
2020-12-20,,,,,,3738,1776.94606176788
2020-12-21,,,,,,3738,1762.31111242717
2020-12-22,,,,,,3738,1747.35035784934
2020-12-23,,,,,,3738,1732.11458154026
2020-12-24,,,,,,3738,1716.64941622619
2020-12-25,,,,,,3738,1708.90645040022
2020-12-26,,,,,,3738,1701.09518541637
